rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
11,8dfb7350,/en/squads/8dfb7350/2017-2018/Dijon-Stats,Dijon,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8dfb7350.png,38,13,9,16,55,73,-18,48,1.26,41.6,63.8,-22.2,-0.58,"12,228",Júlio Tavares-12,Baptiste Reynet,,13,2017-2018,03730275-eff3-4509-a979-52979325c331
12,d41b5f53,/en/squads/d41b5f53/2017-2018/Guingamp-Stats,Guingamp,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d41b5f53.png,38,12,11,15,48,59,-11,47,1.24,45.5,49.0,-3.5,-0.09,"14,502",Jimmy Briand-11,Karl-Johan Johnsson,,13,2017-2018,03730275-eff3-4509-a979-52979325c331
13,25622401,/en/squads/25622401/2017-2018/Amiens-Stats,Amiens,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.25622401.png,38,12,9,17,37,42,-5,45,1.18,32.8,54.9,-22.1,-0.58,"9,521",Moussa Konaté-13,Régis Gurtner,,13,2017-2018,03730275-eff3-4509-a979-52979325c331
14,69236f98,/en/squads/69236f98/2017-2018/Angers-Stats,Angers,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.69236f98.png,38,9,14,15,42,52,-10,41,1.08,47.6,45.8,+1.8,+0.05,"11,065",Karl Toko Ekambi-17,Ludovic Butelle,,13,2017-2018,03730275-eff3-4509-a979-52979325c331
15,c0d3eab4,/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats,Strasbourg,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c0d3eab4.png,38,9,11,18,44,67,-23,38,1.00,45.5,58.4,-12.9,-0.34,"24,064",Stéphane Bahoken-7,Bingourou Kamara,,13,2017-2018,03730275-eff3-4509-a979-52979325c331
16,74229020,/en/squads/74229020/2017-2018/Caen-Stats,Caen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.74229020.png,38,10,8,20,27,52,-25,38,1.00,42.8,48.0,-5.2,-0.14,"17,187",Ivan Santini-11,Rémy Vercoutre,,13,2017-2018,03730275-eff3-4509-a979-52979325c331
17,cb188c0c,/en/squads/cb188c0c/2017-2018/Lille-Stats,Lille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cb188c0c.png,38,10,8,20,41,67,-26,38,1.00,36.4,57.9,-21.5,-0.57,"31,453",Nicolas Pépé-13,Mike Maignan,,13,2017-2018,03730275-eff3-4509-a979-52979325c331
18,3f8c4b5f,/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats,Toulouse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3f8c4b5f.png,38,9,10,19,38,54,-16,37,0.97,45.5,52.1,-6.6,-0.17,"16,929",Max Gradel-8,Alban Lafont,→ French 1/2 Relegation/Promotion play-offs,13,2017-2018,03730275-eff3-4509-a979-52979325c331
19,54195385,/en/squads/54195385/2017-2018/Troyes-Stats,Troyes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.54195385.png,38,9,6,23,32,59,-27,33,0.87,38.0,52.0,-14.0,-0.37,"11,723",Adama Niane-8,Mamadou Samassa,Relegated,13,2017-2018,03730275-eff3-4509-a979-52979325c331
20,f83960ae,/en/squads/f83960ae/2017-2018/Metz-Stats,Metz,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f83960ae.png,38,6,8,24,34,76,-42,26,0.68,40.3,71.3,-31.0,-0.81,"14,844",Nolan Roux-15,Eiji Kawashima,Relegated,13,2017-2018,03730275-eff3-4509-a979-52979325c331
