player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches_link,competition_id,season_id,id
/en/players/e9c0c1b2/Andre-Onana,e9c0c1b2,André Onana,cmCMR,GK,19538871,Manchester Utd,/en/squads/19538871/Manchester-United-Stats,28,1996,34.0,44,3,1,10,1,44.0,0.31,+1.0,+0.03,118,440,26.8,1152,136,29.7,30.3,149,65.8,47.2,399,22,5.5,23,0.68,11.8,/en/players/e9c0c1b2/matchlogs/2024-2025/keeper/Andre-Onana-Match-Logs,9,2024-2025,19367dc7-5c8f-4e04-b4ef-b35032d4e164
/en/players/c1242d4e/Stefan-Ortega,c1242d4e,Stefan Ortega,deGER,GK,2024-2025,Manchester City,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats,31,1992,12.2,18,2,1,1,1,16.3,0.31,-0.7,-0.06,40,104,38.5,409,55,21.5,26.7,49,32.7,28.2,133,6,4.5,12,0.98,14.3,/en/players/c1242d4e/matchlogs/2024-2025/keeper/Stefan-Ortega-Match-Logs,9,2024-2025,7679174e-2abb-4099-a477-5e8ddd922f43
/en/players/6ea97fd5/Alex-Palmer,6ea97fd5,Alex Palmer,engENG,GK,b74092de,Ipswich Town,/en/squads/b74092de/Ipswich-Town-Stats,27,1996,13.0,30,1,0,9,2,25.1,0.35,-2.9,-0.22,71,186,38.2,329,55,36.8,33.9,94,69.1,50.8,249,20,8.0,13,1.00,11.5,/en/players/6ea97fd5/matchlogs/2024-2025/keeper/Alex-Palmer-Match-Logs,9,2024-2025,8264a86c-25e0-4dad-8afb-cbba17131f2d
/en/players/4806ec67/Jordan-Pickford,4806ec67,Jordan Pickford,engENG,GK,d3fd31cc,Everton,/en/squads/d3fd31cc/Everton-Stats,30,1994,38.0,44,0,1,6,0,48.8,0.30,+4.8,+0.13,304,806,37.7,1355,161,48.8,39.7,231,62.8,48.7,558,31,5.6,57,1.50,15.2,/en/players/4806ec67/matchlogs/2024-2025/keeper/Jordan-Pickford-Match-Logs,9,2024-2025,35376c51-363b-4cef-84b3-3721715e796e
/en/players/4b40d9ca/Nick-Pope,4b40d9ca,Nick Pope,engENG,GK,2024-2025,Newcastle Utd,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats,32,1992,28.0,35,1,0,3,2,34.8,0.28,+1.8,+0.06,72,257,28.0,595,192,25.7,30.7,187,55.6,43.6,359,39,10.9,64,2.29,16.0,/en/players/4b40d9ca/matchlogs/2024-2025/keeper/Nick-Pope-Match-Logs,9,2024-2025,66b39740-5082-40d8-ae33-ba6ec4ad06fe
/en/players/57a34cf4/Hakon-Rafn-Valdimarsson,57a34cf4,Hákon Rafn Valdimarsson,isISL,GK,cd051869,Brentford,/en/squads/cd051869/Brentford-Stats,22,2001,1.6,2,0,0,0,1,0.6,0.14,-0.4,-0.26,15,38,39.5,54,7,42.6,34.9,16,93.8,59.3,16,2,12.5,0,0.00,4.7,/en/players/57a34cf4/matchlogs/2024-2025/keeper/Hakon-Rafn-Valdimarsson-Match-Logs,9,2024-2025,25d7244d-8ee0-4a09-ba4a-147cad9d22fb
/en/players/466fb2c5/Aaron-Ramsdale,466fb2c5,Aaron Ramsdale,engENG,GK,33c895d4,Southampton,/en/squads/33c895d4/Southampton-Stats,26,1998,30.0,66,5,0,10,0,63.5,0.32,-2.5,-0.08,196,605,32.4,1026,129,44.6,36.0,190,77.4,55.9,457,25,5.5,20,0.67,11.7,/en/players/466fb2c5/matchlogs/2024-2025/keeper/Aaron-Ramsdale-Match-Logs,9,2024-2025,527876c0-5d6c-4284-8b73-9c41ee4001c9
/en/players/98ea5115/David-Raya,98ea5115,David Raya,esESP,GK,2024-2025,Arsenal,/en/squads/18bb7c10/2024-2025/Arsenal-Stats,28,1995,38.0,34,3,2,8,0,35.1,0.28,+1.1,+0.03,149,478,31.2,1263,178,29.9,29.9,147,68.0,49.1,402,53,13.2,66,1.74,17.2,/en/players/98ea5115/matchlogs/2024-2025/keeper/David-Raya-Match-Logs,9,2024-2025,7b138cca-602d-4246-b7a7-4551a3384612
/en/players/903b6e8b/Jose-Sa,903b6e8b,José Sá,ptPOR,GK,8cec06e1,Wolves,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,31,1993,29.0,48,5,1,6,2,42.8,0.33,-3.2,-0.11,94,382,24.6,771,121,39.3,35.2,150,52.7,41.5,432,32,7.4,43,1.48,15.5,/en/players/903b6e8b/matchlogs/2024-2025/keeper/Jose-Sa-Match-Logs,9,2024-2025,d73a9eda-41d4-44e1-a619-ce34586c1f2a
/en/players/6a713852/Robert-Sanchez,6a713852,Robert Sánchez,esESP,GK,2024-2025,Chelsea,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats,26,1997,32.0,34,4,0,4,0,35.7,0.25,+1.7,+0.05,98,424,23.1,1160,190,33.3,33.4,82,46.3,40.3,370,47,12.7,57,1.78,14.5,/en/players/6a713852/matchlogs/2024-2025/keeper/Robert-Sanchez-Match-Logs,9,2024-2025,a162e546-efc6-49ab-914e-61b126f1447c
/en/players/834b5c4c/Matz-Sels,834b5c4c,Matz Sels,beBEL,GK,e4a775cb,Nott'ham Forest,/en/squads/e4a775cb/Nottingham-Forest-Stats,32,1992,38.0,46,3,1,5,0,49.1,0.29,+3.1,+0.08,244,698,35.0,715,83,68.4,44.7,270,77.4,54.3,710,19,2.7,12,0.32,8.7,/en/players/834b5c4c/matchlogs/2024-2025/keeper/Matz-Sels-Match-Logs,9,2024-2025,1f76fade-23e9-4270-a758-6a03f90f79a1
/en/players/28300a16/Jason-Steele,28300a16,Jason Steele,engENG,GK,d07537b9,Brighton,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,33,1990,2.0,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,2,50.0,43.0,22,2,9.1,3,1.50,15.4,/en/players/28300a16/matchlogs/2024-2025/keeper/Jason-Steele-Match-Logs,9,2024-2025,36de37f2-ef35-46d0-97ab-bb4674c3207e
/en/players/a4a76b3d/Jakub-Stolarczyk,a4a76b3d,Jakub Stolarczyk,plPOL,GK,a2d435b3,Leicester City,/en/squads/a2d435b3/Leicester-City-Stats,23,2000,10.0,16,0,0,2,0,15.4,0.35,-0.6,-0.06,57,195,29.2,328,36,46.3,34.2,58,74.1,50.2,169,10,5.9,8,0.80,12.5,/en/players/a4a76b3d/matchlogs/2024-2025/keeper/Jakub-Stolarczyk-Match-Logs,9,2024-2025,d4b6e1f0-b7e5-434a-ab61-1197b9bbbbec
/en/players/fe558029/Mark-Travers,fe558029,Mark Travers,ieIRL,GK,4ba7cbea,Bournemouth,/en/squads/4ba7cbea/Bournemouth-Stats,25,1999,5.0,5,0,1,1,0,9.5,0.38,+4.5,+0.89,33,73,45.2,103,29,41.7,36.3,39,76.9,55.8,63,1,1.6,5,1.00,12.9,/en/players/fe558029/matchlogs/2024-2025/keeper/Mark-Travers-Match-Logs,9,2024-2025,c15dd7e3-65f7-4151-9b7c-d5517018ccb7
/en/players/cf134113/Bart-Verbruggen,cf134113,Bart Verbruggen,nlNED,GK,d07537b9,Brighton,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,21,2002,36.0,58,9,1,4,2,51.0,0.31,-5.0,-0.14,122,386,31.6,1226,122,26.9,29.7,83,67.5,48.5,414,27,6.5,47,1.31,13.9,/en/players/cf134113/matchlogs/2024-2025/keeper/Bart-Verbruggen-Match-Logs,9,2024-2025,7426cfea-34be-4035-962d-3952146b6af3
/en/players/77d6fd4d/Guglielmo-Vicario,77d6fd4d,Guglielmo Vicario,itITA,GK,2024-2025,Tottenham,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,27,1996,24.0,37,1,0,6,2,37.4,0.36,+2.4,+0.10,28,95,29.5,809,120,10.5,22.8,65,15.4,22.8,312,30,9.6,31,1.29,13.3,/en/players/77d6fd4d/matchlogs/2024-2025/keeper/Guglielmo-Vicario-Match-Logs,9,2024-2025,e03e6e5d-6bfb-4dce-9a31-33c42186d32a
/en/players/c666574f/Christian-Walton,c666574f,Christian Walton,engENG,GK,b74092de,Ipswich Town,/en/squads/b74092de/Ipswich-Town-Stats,28,1995,7.0,19,2,0,0,0,17.1,0.40,-1.9,-0.28,42,116,36.2,204,35,42.6,34.3,51,56.9,44.5,111,12,10.8,2,0.29,8.2,/en/players/c666574f/matchlogs/2024-2025/keeper/Christian-Walton-Match-Logs,9,2024-2025,4d5c6452-a611-4e28-aee5-c225826726d9
/en/players/d3ce0e89/Danny-Ward,d3ce0e89,Danny Ward,wlsWAL,GK,a2d435b3,Leicester City,/en/squads/a2d435b3/Leicester-City-Stats,31,1993,1.5,6,0,0,0,0,2.8,0.28,-3.2,-2.11,10,22,45.5,46,9,37.0,32.0,7,71.4,52.0,11,0,0.0,2,1.33,20.7,/en/players/d3ce0e89/matchlogs/2024-2025/keeper/Danny-Ward-Match-Logs,9,2024-2025,9baa9111-fb2a-4a60-ac89-93a37ab766c8
