player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches_link,competition_id,season_id,id
/en/players/e0bc6fdc/Emerson-Palmieri,e0bc6fdc,Emerson Palmieri,itITA,DF,2023-2024,West Ham,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,28,1994,34.9,1745,1459,280,18,2,5,49,256,6,0,5,0,1421,6,57,/en/players/e0bc6fdc/matchlogs/2023-2024/passing_types/Emerson-Palmieri-Match-Logs,9,2023-2024,5d68e184-f3ba-4884-9d98-559055a6fb6a
/en/players/9b6f7fd5/Lucas-Paqueta,9b6f7fd5,Lucas Paquetá,brBRA,"FW,MF",2023-2024,West Ham,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,25,1997,29.1,1465,1397,60,20,30,17,35,11,0,0,0,0,1082,8,53,/en/players/9b6f7fd5/matchlogs/2023-2024/passing_types/Lucas-Paqueta-Match-Logs,9,2023-2024,2c86ca59-25df-4107-8a1f-8e0ea45fd5a7
/en/players/32163807/Ben-Parkinson,32163807,Ben Parkinson,engENG,FW,2023-2024,Newcastle Utd,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,18,2005,0.3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,/en/players/32163807/matchlogs/2023-2024/passing_types/Ben-Parkinson-Match-Logs,9,2023-2024,066e5752-532a-4c4e-a12a-971e3ae12230
/en/players/529f49ab/Thomas-Partey,529f49ab,Thomas Partey,ghGHA,"MF,DF",2023-2024,Arsenal,/en/squads/18bb7c10/2023-2024/Arsenal-Stats,30,1993,8.8,636,609,24,14,3,3,2,10,0,0,0,0,570,3,3,/en/players/529f49ab/matchlogs/2023-2024/passing_types/Thomas-Partey-Match-Logs,9,2023-2024,b3aa6b0e-92d7-4ecc-a5a6-39c5c27159aa
/en/players/230f0471/Nathan-Patterson,230f0471,Nathan Patterson,sctSCO,DF,2023-2024,Everton,/en/squads/d3fd31cc/2023-2024/Everton-Stats,21,2001,11.2,550,439,110,1,1,1,32,109,0,0,0,0,393,1,13,/en/players/230f0471/matchlogs/2023-2024/passing_types/Nathan-Patterson-Match-Logs,9,2023-2024,a4a47880-c302-4b1d-a941-b3fc6156f9d9
/en/players/ea1a5662/Myles-Peart-Harris,ea1a5662,Myles Peart-Harris,engENG,"DF,MF",2023-2024,Brentford,/en/squads/cd051869/2023-2024/Brentford-Stats,20,2002,0.1,10,8,2,0,0,0,1,2,0,0,0,0,6,0,0,/en/players/ea1a5662/matchlogs/2023-2024/passing_types/Myles-Peart-Harris-Match-Logs,9,2023-2024,50598635-cfa2-4c5d-a0be-c21982417f95
/en/players/767d9605/Sydie-Peck,767d9605,Sydie Peck,engENG,MF,2023-2024,Sheffield Utd,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,18,2004,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,/en/players/767d9605/matchlogs/2023-2024/passing_types/Sydie-Peck-Match-Logs,9,2023-2024,3390e135-00db-4b52-a1f1-b32d5d26c9a6
/en/players/ac7e7b1c/Facundo-Pellistri,ac7e7b1c,Facundo Pellistri,uyURU,"FW,MF",2023-2024,Manchester Utd,/en/squads/19538871/2023-2024/Manchester-United-Stats,21,2001,1.9,79,78,0,0,0,0,4,0,0,0,0,0,60,1,5,/en/players/ac7e7b1c/matchlogs/2023-2024/passing_types/Facundo-Pellistri-Match-Logs,9,2023-2024,38a4eda0-a8e6-42f3-89bc-88378d760b51
/en/players/6639e500/Andreas-Pereira,6639e500,Andreas Pereira,brBRA,MF,2023-2024,Fulham,/en/squads/fd962109/2023-2024/Fulham-Stats,27,1996,29.0,1295,1035,255,67,14,11,220,7,148,49,74,1,912,5,44,/en/players/6639e500/matchlogs/2023-2024/passing_types/Andreas-Pereira-Match-Logs,9,2023-2024,95e33049-c159-4042-89ff-361f6784d0d2
/en/players/6fe90922/Ivan-Perisic,6fe90922,Ivan Perišić,hrCRO,FW,2023-2024,Tottenham,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats,34,1989,1.1,76,72,4,1,0,1,13,2,1,1,0,0,53,0,1,/en/players/6fe90922/matchlogs/2023-2024/passing_types/Ivan-Perisic-Match-Logs,9,2023-2024,8b9a6209-5299-4ef1-b42f-4234ccaf46e0
/en/players/0cf321c8/Djordje-Petrovic,0cf321c8,Đorđe Petrović,rsSRB,GK,2023-2024,Chelsea,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,23,1999,22.1,806,629,175,26,0,0,0,0,0,0,0,0,635,2,0,/en/players/0cf321c8/matchlogs/2023-2024/passing_types/Djordje-Petrovic-Match-Logs,9,2023-2024,60f56721-4ace-41fa-9105-0662d33c4889
/en/players/4f565d77/Kalvin-Phillips,4f565d77,Kalvin Phillips,engENG,MF,2023-2024,West Ham,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,27,1995,3.4,179,170,7,6,1,1,1,1,0,0,0,0,141,2,2,/en/players/4f565d77/matchlogs/2023-2024/passing_types/Kalvin-Phillips-Match-Logs,9,2023-2024,d906ec22-3c31-42ce-98b3-d97669402e1e
/en/players/4f565d77/Kalvin-Phillips,4f565d77,Kalvin Phillips,engENG,MF,2023-2024,Manchester City,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,27,1995,1.0,70,67,3,3,0,0,2,0,0,0,0,0,62,0,1,/en/players/4f565d77/matchlogs/2023-2024/passing_types/Kalvin-Phillips-Match-Logs,9,2023-2024,96811a4f-fad1-498b-8fb1-efa55624a87b
