player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches_link,competition_id,season_id,id
/en/players/e7ee38c3/Robin-Olsen,e7ee38c3,Robin Olsen,seSWE,GK,8602292d,Aston Villa,/en/squads/8602292d/Aston-Villa-Stats,34,1990,4,1,226,2.5,6,2.39,14,8,64.3,1,0,0,1,100.0,1,1,0,0,0.0,/en/players/e7ee38c3/matchlogs/2024-2025/keeper/Robin-Olsen-Match-Logs,9,2024-2025,ae976b6e-f051-4ac9-9367-3e5d0e5efcef
/en/players/e9c0c1b2/Andre-Onana,e9c0c1b2,André Onana,cmCMR,GK,19538871,Manchester Utd,/en/squads/19538871/Manchester-United-Stats,28,1996,34,34,"3,060",34.0,44,1.29,132,88,68.9,10,9,15,9,26.5,4,3,1,0,25.0,/en/players/e9c0c1b2/matchlogs/2024-2025/keeper/Andre-Onana-Match-Logs,9,2024-2025,669db2b8-1a5f-4d21-bd60-afc3ec789b4d
/en/players/c1242d4e/Stefan-Ortega,c1242d4e,Stefan Ortega,deGER,GK,2024-2025,Manchester City,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats,31,1992,13,12,"1,100",12.2,18,1.47,50,33,68.0,5,4,3,3,25.0,2,2,0,0,0.0,/en/players/c1242d4e/matchlogs/2024-2025/keeper/Stefan-Ortega-Match-Logs,9,2024-2025,caf9479b-00e8-4cef-8dc0-7470cf3319a6
/en/players/6ea97fd5/Alex-Palmer,6ea97fd5,Alex Palmer,engENG,GK,b74092de,Ipswich Town,/en/squads/b74092de/Ipswich-Town-Stats,27,1996,13,13,"1,170",13.0,30,2.31,71,43,59.2,1,3,9,0,0.0,1,1,0,0,0.0,/en/players/6ea97fd5/matchlogs/2024-2025/keeper/Alex-Palmer-Match-Logs,9,2024-2025,05b3f8ff-efd0-4e2c-a7ea-70462724fa39
/en/players/4806ec67/Jordan-Pickford,4806ec67,Jordan Pickford,engENG,GK,d3fd31cc,Everton,/en/squads/d3fd31cc/Everton-Stats,30,1994,38,38,"3,420",38.0,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0,/en/players/4806ec67/matchlogs/2024-2025/keeper/Jordan-Pickford-Match-Logs,9,2024-2025,755e8fd9-a9c5-4cf2-9958-69fe4bb6e176
/en/players/4b40d9ca/Nick-Pope,4b40d9ca,Nick Pope,engENG,GK,2024-2025,Newcastle Utd,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats,32,1992,28,28,"2,520",28.0,35,1.25,120,86,71.7,13,6,9,8,28.6,2,1,1,0,50.0,/en/players/4b40d9ca/matchlogs/2024-2025/keeper/Nick-Pope-Match-Logs,9,2024-2025,89955d21-50df-4558-8b38-d193097a5bde
/en/players/57a34cf4/Hakon-Rafn-Valdimarsson,57a34cf4,Hákon Rafn Valdimarsson,isISL,GK,cd051869,Brentford,/en/squads/cd051869/Brentford-Stats,22,2001,2,1,145,1.6,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,,/en/players/57a34cf4/matchlogs/2024-2025/keeper/Hakon-Rafn-Valdimarsson-Match-Logs,9,2024-2025,26881a33-ec37-4d1c-bf30-06e38e936389
/en/players/466fb2c5/Aaron-Ramsdale,466fb2c5,Aaron Ramsdale,engENG,GK,33c895d4,Southampton,/en/squads/33c895d4/Southampton-Stats,26,1998,30,30,"2,700",30.0,66,2.20,188,120,67.6,2,5,23,3,10.0,7,5,2,0,28.6,/en/players/466fb2c5/matchlogs/2024-2025/keeper/Aaron-Ramsdale-Match-Logs,9,2024-2025,b1b833d7-d3e5-4606-8b8d-c74f83ccf6db
/en/players/98ea5115/David-Raya,98ea5115,David Raya,esESP,GK,2024-2025,Arsenal,/en/squads/18bb7c10/2024-2025/Arsenal-Stats,28,1995,38,38,"3,420",38.0,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0,/en/players/98ea5115/matchlogs/2024-2025/keeper/David-Raya-Match-Logs,9,2024-2025,09ae6b2c-5dd8-4774-bab8-abaf4241fc78
/en/players/903b6e8b/Jose-Sa,903b6e8b,José Sá,ptPOR,GK,8cec06e1,Wolves,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,31,1993,29,29,"2,609",29.0,48,1.66,117,69,63.2,11,5,13,7,24.1,7,5,2,0,28.6,/en/players/903b6e8b/matchlogs/2024-2025/keeper/Jose-Sa-Match-Logs,9,2024-2025,17206642-22ea-4001-8352-fe8f10e6f067
/en/players/6a713852/Robert-Sanchez,6a713852,Robert Sánchez,esESP,GK,2024-2025,Chelsea,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats,26,1997,32,32,"2,880",32.0,34,1.06,127,92,76.4,17,9,6,10,31.3,5,4,1,0,20.0,/en/players/6a713852/matchlogs/2024-2025/keeper/Robert-Sanchez-Match-Logs,9,2024-2025,6561810c-e7bc-4a78-ad4a-22d1eb1eea63
/en/players/834b5c4c/Matz-Sels,834b5c4c,Matz Sels,beBEL,GK,e4a775cb,Nott'ham Forest,/en/squads/e4a775cb/Nottingham-Forest-Stats,32,1992,38,38,"3,420",38.0,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0,/en/players/834b5c4c/matchlogs/2024-2025/keeper/Matz-Sels-Match-Logs,9,2024-2025,a5228523-b011-472d-a521-b7f348b09f9f
/en/players/28300a16/Jason-Steele,28300a16,Jason Steele,engENG,GK,d07537b9,Brighton,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,33,1990,2,2,180,2.0,1,0.50,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,/en/players/28300a16/matchlogs/2024-2025/keeper/Jason-Steele-Match-Logs,9,2024-2025,73d403c3-8cae-4692-802b-c85f21b2cb27
/en/players/a4a76b3d/Jakub-Stolarczyk,a4a76b3d,Jakub Stolarczyk,plPOL,GK,a2d435b3,Leicester City,/en/squads/a2d435b3/Leicester-City-Stats,23,2000,10,10,900,10.0,16,1.60,44,28,63.6,3,1,6,2,20.0,0,0,0,0,,/en/players/a4a76b3d/matchlogs/2024-2025/keeper/Jakub-Stolarczyk-Match-Logs,9,2024-2025,d8d14046-8f6e-4936-86fe-ca5d74379cb9
/en/players/fe558029/Mark-Travers,fe558029,Mark Travers,ieIRL,GK,4ba7cbea,Bournemouth,/en/squads/4ba7cbea/Bournemouth-Stats,25,1999,5,5,450,5.0,5,1.00,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,/en/players/fe558029/matchlogs/2024-2025/keeper/Mark-Travers-Match-Logs,9,2024-2025,26c9c37c-4868-44ca-b676-e5ca6f41a7e1
/en/players/cf134113/Bart-Verbruggen,cf134113,Bart Verbruggen,nlNED,GK,d07537b9,Brighton,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,21,2002,36,36,"3,240",36.0,58,1.61,143,87,65.7,14,13,9,7,19.4,9,9,0,0,0.0,/en/players/cf134113/matchlogs/2024-2025/keeper/Bart-Verbruggen-Match-Logs,9,2024-2025,3f74b7e8-2707-4583-b783-3985ed0d6ed9
/en/players/77d6fd4d/Guglielmo-Vicario,77d6fd4d,Guglielmo Vicario,itITA,GK,2024-2025,Tottenham,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,27,1996,24,24,"2,160",24.0,37,1.54,102,67,64.7,9,3,12,4,16.7,1,1,0,0,0.0,/en/players/77d6fd4d/matchlogs/2024-2025/keeper/Guglielmo-Vicario-Match-Logs,9,2024-2025,fd0b37b5-2c43-4972-8162-01e56fa26aea
/en/players/c666574f/Christian-Walton,c666574f,Christian Walton,engENG,GK,b74092de,Ipswich Town,/en/squads/b74092de/Ipswich-Town-Stats,28,1995,7,7,630,7.0,19,2.71,39,20,56.4,1,1,5,1,14.3,2,2,0,0,0.0,/en/players/c666574f/matchlogs/2024-2025/keeper/Christian-Walton-Match-Logs,9,2024-2025,6dcb1b82-15f0-432d-93c4-a9f3b3a26f58
/en/players/d3ce0e89/Danny-Ward,d3ce0e89,Danny Ward,wlsWAL,GK,a2d435b3,Leicester City,/en/squads/a2d435b3/Leicester-City-Stats,31,1993,2,1,135,1.5,6,4.00,10,4,40.0,0,0,1,0,0.0,0,0,0,0,,/en/players/d3ce0e89/matchlogs/2024-2025/keeper/Danny-Ward-Match-Logs,9,2024-2025,67f320ae-3299-49f4-8909-401ada5ea2ec
